Gene,mobile_EPS_1,serotype_O11_dominant,mobile_abx_metal_resistance,ST549,China_ST463,mobile_pKLC102_type_1,mobile_phage_1,mobile_ST773_ST1203_aux,ST235,mobile_PAGI1,mobile_phage_2,serotype_O4_dominant,serotype_O3,mobile_LESGI3,ST111,clone_C_associated,ST309,ST277_dominant,serotype_O6_dominant,mobile_LHR,ST244,mobile_EPS_2,ST179_ST155,ST27,mobile_pKLC102_type_2,mobile_PAGI46,ST253,mobile_phage_3
katE,0.07381552566930608,0.6982219806807854,0.0,0.9881095889762971,0.8647023578008114,0.05276241402902425,0.03974186918896329,0.2578890888467788,0.7842530442700288,0.12760716479683948,0.0,0.7412966115874032,0.8755872873051916,0.010370966249346051,0.8042790688805765,0.8466836229469922,0.8253804593313042,0.6983400024430422,0.7383774799535477,0.012962468209818565,0.7339284818474261,0.0,0.7639660639403296,0.6040985014526401,0.0,0.06469666579090301,0.8879553559782071,0.0
group_17856,0.0,0.02884799095479951,0.0,0.0,0.3153419827895761,0.14626811385746386,0.0,0.0,0.03486951888907371,0.0,0.09295830006493937,0.0,0.0,0.0,0.01639067487538251,0.09816840603599898,0.11617879288232846,0.0,0.0,0.0,0.225936410234859,0.0,0.0,0.008016708533645235,0.11163662397681465,0.0,0.037974578913829195,0.06118819204976122
group_22862,0.0,0.0,0.0,0.0,1.0153058980786605,0.0,0.0,0.12008413176469811,0.0,0.0,0.0,0.402606627746388,0.2718027287798007,0.0,0.0,0.018298810454854177,0.0,0.0,0.0037990968613888483,0.0,0.0,0.004871146870970162,1.027383373282828,0.0,0.0,0.08091458437070655,0.0,0.0
gpFI,0.0,0.8998078888748979,0.002135211334111953,0.9726191037552556,0.8942511070015765,0.0,0.05922711251999145,0.24233466927051928,0.9093516126049069,0.0,0.0,1.0,0.0,0.07476064730245476,0.9415072108898548,0.0,0.9034698489374199,0.9441878770188268,0.6129270059602998,0.0,0.8875629536968621,0.048646618171490075,0.7826012511003602,0.0,0.10749780683362936,0.026269087018885542,0.9835799734631213,0.08729088099323357
group_14493,0.0,0.9496894112601307,0.0,0.0,0.0,0.0,0.0,0.21190773724238138,0.9579474521172533,0.0,0.0,0.0,0.0,0.0,0.0,0.9820508597025751,0.9450032327912027,0.13578778071664413,1.0028545344696962,0.0,0.0,0.0,0.9222848960210983,0.8493144468060461,0.1598786180466198,0.0,0.0,0.0
group_24476,0.0,0.015618794231357449,0.15933538756440394,0.0,0.7426069231745815,0.9023933417009694,0.0,0.0,0.0,0.0,0.0,0.08642224527600262,0.0,0.14821700793419296,0.0,0.0,0.05301007525727029,0.0,0.0,0.22231980190599437,0.0,0.0,0.006468954076380526,0.28373605941570934,0.45379677098266463,0.0,0.6447051624959129,0.0
group_30276,0.0,0.0,0.0,0.0,0.9891250408857991,0.0,0.0,0.0,0.0,0.0,0.0,0.7719858689521975,0.0,0.0,0.9930100831385855,0.0,0.004020855853474006,0.0,0.0,0.0,0.0,0.0,0.17908850531344786,0.0,0.0,0.0058955731555454605,0.007205371695831542,0.0
group_29926,0.0,0.029015945643952847,0.016022105531242396,0.016633077202584178,0.0,0.0,1.5110140014303814,0.0,0.0,0.0,0.0,0.21508253479632802,0.05529816596116567,0.0,0.025780383819722003,0.0,0.27752098762061805,0.0,0.011942189566822968,0.07545211798241631,0.0,0.022040558291124994,0.13617656320575128,0.0,0.0,0.0,0.1412285783841566,0.0
group_24394,0.3684314739274307,0.5187134543333091,0.047791607138178274,0.7157575974527908,0.6326671071287495,0.016866247099960013,0.0,0.3161323214313336,0.8591779534538245,0.019063684296588498,0.0020110768030640255,0.49986927525311753,0.6202505516738709,0.026346589194343985,0.9138667481109382,0.8218513535224556,0.8858255138154397,0.5425941155726464,0.5141571112897734,0.09746039340111874,0.6458497860897465,0.3533999320336997,0.5241261551040559,0.5127553102562983,0.03219096447551282,0.08425946271446783,0.898620303402055,0.04586866829308497
group_4223,0.0,0.0,0.0,0.9567594393625307,0.9678217836081738,0.0,0.0,1.558368074548049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999680036891267,0.0,0.0,0.0,0.9448844892315463,0.0,0.4797680461849557,0.0,0.0,0.0,0.0,0.0
